W% BaO,W% CaO,W% MgO,W% PbO,W% SrO,W% ZnO,W% GeO2,W% SiO2,W% TeO2,W% TiO2,W% ZrO2,W% WO3,W% K2O,W% Li2O,W% Na2O,W% Al2O3,W% B2O3,W% Bi2O3,W% P2O5,TG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1677017211914,0.0,0.0,0.0,0.0,0.0,0.0,24.126766204834,0.0,5.70553874969482,0.0,0.0,513.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7294502258301,0.0,0.0,0.0,0.0,0.0,0.0,23.675802230835,0.0,26.5947437286377,0.0,0.0,547.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7299423217773,0.0,0.0,0.0,0.0,0.0,0.0,24.617504119873,0.0,27.6525497436523,0.0,0.0,547.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7628021240234,0.0,0.0,0.0,0.0,0.0,0.0,26.9568691253662,0.0,30.2803287506104,0.0,0.0,526.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8403549194336,0.0,0.0,0.0,0.0,0.0,0.0,29.275182723999,0.0,32.8844604492188,0.0,0.0,509.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4101543426514,0.0,0.0,0.0,0.0,0.0,0.0,32.3036003112793,0.0,36.286247253418,0.0,0.0,485.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5820693969727,0.0,0.0,0.0,0.0,14.6155738830566,0.0,0.0,0.0,10.8023614883423,0.0,0.0,658.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5284042358398,0.0,0.0,0.0,0.0,16.3714618682861,0.0,0.0,0.0,12.100136756897,0.0,0.0,650.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7565689086914,0.0,0.0,0.0,0.0,17.9652976989746,0.0,0.0,0.0,13.2781381607056,0.0,0.0,638.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1218681335449,0.0,0.0,0.0,0.0,21.2053050994873,0.0,0.0,0.0,15.6728267669678,0.0,0.0,632.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3945274353027,0.0,0.0,0.0,0.0,23.3485622406006,0.0,0.0,0.0,17.2569065093994,0.0,0.0,630.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3138275146484,0.0,0.0,0.0,0.0,23.9699764251709,0.0,0.0,0.0,17.716194152832,0.0,0.0,624.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6687507629395,0.0,0.0,0.0,0.0,24.3409023284912,0.0,0.0,0.0,17.9903450012207,0.0,0.0,623.0
